country,male_count,female_count,male_pct,female_pct
Afghanistan,16,8,66.67,33.33
Albania,48,23,67.61,32.39
Algeria,69,38,64.49,35.51
Andorra,5,5,50,50
Angola,6,2,75,25
Argentina,1000,634,61.2,38.8
Armenia,34,15,69.39,30.61
Aruba,12,4,75,25
Australia,1335,796,62.65,37.35
Austria,457,327,58.29,41.71
Azerbaijan,40,13,75.47,24.53
Bahamas,23,9,71.88,28.12
Bahrain,3,1,75,25
Bangladesh,153,87,63.75,36.25
Belarus,14,6,70,30
Belgium,1387,947,59.43,40.57
Bermuda,2,2,50,50
Bhutan,11,1,91.67,8.33
Bolivia,22,10,68.75,31.25
Bosnia and Herzegovina,78,43,64.46,35.54
Botswana,3,1,75,25
Brazil,1003,691,59.21,40.79
British Virgin Islands,3,1,75,25
Brunei,8,7,53.33,46.67
Bulgaria,302,150,66.81,33.19
Burkina Faso,13,12,52,48
Cambodia,23,17,57.5,42.5
Cameroon,3,1,75,25
Canada,4110,2578,61.45,38.55
Cape Verde,2,2,50,50
Cayman Islands,5,7,41.67,58.33
Chad,3,1,75,25
Chile,287,198,59.18,40.82
China,1371,747,64.73,35.27
Colombia,239,126,65.48,34.52
Costa Rica,23,14,62.16,37.84
Croatia,247,124,66.58,33.42
Cuba,85,53,61.59,38.41
Cyprus,33,25,56.9,43.1
Czech Republic,468,280,62.57,37.43
Czechoslovakia,393,183,68.23,31.77
Denmark,1165,689,62.84,37.16
Djibouti,5,2,71.43,28.57
Dominican Republic,66,31,68.04,31.96
East Germany,102,51,66.67,33.33
Ecuador,25,9,73.53,26.47
Egypt,657,341,65.83,34.17
Estonia,133,71,65.2,34.8
Ethiopia,15,11,57.69,42.31
Federal Republic of Yugoslavia,88,43,67.18,32.82
Fiji,1,3,25,75
Finland,770,468,62.2,37.8
France,9085,6124,59.73,40.27
Georgia,83,36,69.75,30.25
Germany,4213,2714,60.82,39.18
Ghana,11,1,91.67,8.33
Gibraltar,3,1,75,25
Greece,950,599,61.33,38.67
Greenland,6,2,75,25
Guatemala,16,4,80,20
Haiti,7,5,58.33,41.67
Honduras,7,1,87.5,12.5
Hong Kong,2606,1337,66.09,33.91
Hungary,741,443,62.58,37.42
Iceland,188,112,62.67,37.33
India,7783,4224,64.82,35.18
Indonesia,269,199,57.48,42.52
Iran,842,493,63.07,36.93
Iraq,35,17,67.31,32.69
Ireland,518,292,63.95,36.05
Isle Of Man,9,11,45,55
