country,year,male_count,female_count
Chile,1925,4,3
Denmark,1925,1,3
France,1925,5,5
Germany,1925,7,5
Soviet Union,1925,14,7
UK,1925,2,2
USA,1925,66,35
France,1926,3,1
Germany,1926,2,2
Norway,1926,4,3
Soviet Union,1926,5,1
USA,1926,71,45
France,1927,9,7
Germany,1927,4,4
Soviet Union,1927,8,4
USA,1927,75,44
France,1928,6,5
Germany,1928,12,8
Japan,1928,4,4
Soviet Union,1928,4,4
UK,1928,13,7
USA,1928,64,46
France,1929,9,3
Germany,1929,16,8
India,1929,3,1
Japan,1929,4,3
Norway,1929,3,1
Soviet Union,1929,10,2
UK,1929,13,6
USA,1929,111,67
Czechoslovakia,1930,2,2
France,1930,12,6
Japan,1930,5,5
UK,1930,7,3
USA,1930,162,90
Brazil,1931,2,4
Canada,1931,3,1
Czechoslovakia,1931,2,2
France,1931,8,4
Germany,1931,12,8
India,1931,1,3
Japan,1931,1,3
Soviet Union,1931,8,3
UK,1931,2,2
USA,1931,233,160
Czechoslovakia,1932,3,1
France,1932,28,12
Germany,1932,11,5
Hungary,1932,1,3
Italy,1932,3,1
Japan,1932,1,3
Soviet Union,1932,3,1
UK,1932,5,3
USA,1932,241,150
Austria,1933,3,1
Canada,1933,2,2
Czechoslovakia,1933,3,1
Germany,1933,10,6
Italy,1933,3,1
Japan,1933,7,7
UK,1933,17,4
USA,1933,256,172
China,1934,3,1
Czechoslovakia,1934,3,1
France,1934,14,10
Germany,1934,2,2
Italy,1934,2,2
Japan,1934,10,8
Mexico,1934,12,4
Poland,1934,2,2
Soviet Union,1934,7,7
Switzerland,1934,2,2
UK,1934,15,9
USA,1934,264,177
Argentina,1935,3,1
China,1935,4,1
France,1935,14,10
Germany,1935,6,3
Japan,1935,4,12
Soviet Union,1935,15,3
Sweden,1935,7,5
UK,1935,41,22
USA,1935,260,154
Finland,1936,2,2
France,1936,16,15
Germany,1936,7,5
Japan,1936,9,9
Poland,1936,3,1
Soviet Union,1936,12,3
Sweden,1936,5,2
UK,1936,20,8
USA,1936,263,164
China,1937,12,2
France,1937,19,9
Germany,1937,11,6
Hungary,1937,2,2
Japan,1937,3,1
Norway,1937,3,3
Poland,1937,3,1
Soviet Union,1937,6,2
Sweden,1937,3,1
UK,1937,35,13
USA,1937,301,165
France,1938,19,9
Germany,1938,3,5
Japan,1938,8,2
Sweden,1938,6,4
UK,1938,25,11
USA,1938,262,149
Czechoslovakia,1939,2,2
France,1939,17,7
Germany,1939,2,2
Japan,1939,11,1
Portugal,1939,3,1
Soviet Union,1939,5,3
Sweden,1939,3,1
Switzerland,1939,3,1
Turkey,1939,3,2
UK,1939,21,12
USA,1939,317,161
France,1940,2,2
Germany,1940,10,4
Italy,1940,2,2
Norway,1940,3,1
Soviet Union,1940,6,2
Sweden,1940,2,2
UK,1940,38,14
USA,1940,331,175
China,1941,6,1
Czechoslovakia,1941,3,5
Egypt,1941,2,2
Finland,1941,3,3
France,1941,2,2
Germany,1941,3,1
India,1941,4,1
Italy,1941,2,4
Japan,1941,10,6
Mexico,1941,4,4
Soviet Union,1941,3,1
UK,1941,34,11
USA,1941,347,195
Austria,1942,3,1
France,1942,19,9
Germany,1942,3,1
Hungary,1942,2,2
Italy,1942,6,6
Portugal,1942,6,2
Soviet Union,1942,1,3
UK,1942,28,12
USA,1942,300,176
Denmark,1943,1,3
Finland,1943,2,2
France,1943,8,8
Germany,1943,9,3
Italy,1943,13,7
Japan,1943,3,1
Mexico,1943,11,5
Portugal,1943,2,2
Soviet Union,1943,4,4
UK,1943,33,19
USA,1943,290,142
Denmark,1944,3,1
Finland,1944,3,3
France,1944,3,5
Germany,1944,5,4
Japan,1944,4,3
Mexico,1944,2,2
Soviet Union,1944,6,6
Spain,1944,5,3
Sweden,1944,3,1
UK,1944,21,20
USA,1944,249,152
Denmark,1945,3,1
Finland,1945,2,2
France,1945,5,7
Germany,1945,3,1
Italy,1945,3,1
Japan,1945,8,1
Mexico,1945,3,1
Spain,1945,2,2
Sweden,1945,5,3
UK,1945,27,17
USA,1945,284,158
Australia,1946,2,2
Finland,1946,3,1
France,1946,12,4
Italy,1946,2,2
Japan,1946,7,9
Mexico,1946,6,2
Soviet Union,1946,3,1
Sweden,1946,5,7
UK,1946,34,18
USA,1946,271,159
Canada,1947,3,1
Denmark,1947,2,2
France,1947,13,7
Germany,1947,6,2
Italy,1947,5,3
Japan,1947,5,3
Mexico,1947,13,7
Portugal,1947,3,1
Soviet Union,1947,9,3
Sweden,1947,7,5
UK,1947,40,24
USA,1947,284,180
