Year,MovieCount
1925,68
1926,72
1927,75
1928,84
1929,138
1930,168
1931,216
1932,239
1933,251
1934,272
1935,276
1936,280
1937,295
1938,268
1939,292
1940,294
1941,297
1942,291
1943,267
1944,259
1945,242
1946,268
1947,289
1948,324
1949,326
1950,332
1951,356
1952,371
1953,396
1954,355
1955,388
1956,383
1957,425
1958,444
1959,400
1960,404
1961,418
1962,431
1963,421
1964,465
1965,469
1966,483
1967,529
1968,569
1969,557
1970,597
1971,653
1972,633
1973,650
1974,605
1975,553
1976,610
1977,597
1978,542
1979,579
1980,580
1981,600
1982,628
1983,621
1984,634
1985,689
1986,761
1987,822
1988,852
1989,846
1990,762
1991,775
1992,772
1993,818
1994,858
1995,937
1996,969
1997,1089
1998,1153
1999,1354
2000,1317
2001,1429
2002,1404
2003,1478
2004,1662
2005,1806
2006,2045
2007,2075
2008,2140
2009,2277
2010,2253
2011,2389
2012,2517
2013,2749
2014,2851
2015,2903
2016,3033
2017,3106
2018,2880
2019,1567
